,PLAYER_NAME,TEAM,FG%,FG3%,OREB,DREB,AST,STL,BLK,PF,PTS,PLUS_MINUS,AST%,AST_TO,OREB%,DREB%,TM_TOV%,TS%,USG%,PIE,PLAYER_POSITION,LT6FT_FREQ,LT6FT_DFGM,LT6FT_%DIFF,3PT_FREQ,3PT_DFGM,3PT_%DIFF,BT6_9FT_DFGM,BT6_9FT_%DIFF,BT6_9FT_FREQ,BT10_15FT_DFGM,BT10_15FT_%DIFF,BT10_15FT_FREQ,BT16FT_3PT_DFGM,BT16FT_3PT_%DIFF,BT16FT_3PT_FREQ,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LT_5FT_FGM,LT_5FT_FG%,BT5_9FT_FGM,BT5_9FT_FG%,BT10_14FT_FGM,BT10_14FT_FG%,BT15_19FT_FGM,BT15_19FT_FG%,BT20_24FT_FGM,BT20_24FT_FG%,BT25_29FT_FGM,BT25_29FT_FG%,ISO_PPP,ISO_FG%,ISO_POSS,PNR_HANDLER_PPP,PNR_HANDLER_FG%,PNR_HANDLER_POSS,PNR_ROLLMAN_PPP,PNR_ROLLMAN_FG%,PNR_ROLLMAN_POSS,TRANSITION_PPP,TRANSITION_FG%,TRANSITION_POSS,POST_UP_PPP,POST_UP_FG%,POST_UP_POSS,SPOT_UP_PPP,SPOT_UP_FG%,SPOT_UP_POSS,HANDOFF_PPP,HANDOFF_FG%,HANDOFF_POSS,CUT_PPP,CUT_FG%,CUT_POSS,OFF_SCREEN_PPP,OFF_SCREEN_FG%,OFF_SCREEN_POSS,PUTBACK_PPP,PUTBACK_FG%,PUTBACK_POSS,PASSES_MADE,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS%
0,Aaron Gordon,DEN,0.463,0.335,1.5,4.1,3.2,0.7,0.7,1.8,12.4,1.2,0.165,1.66,0.055,0.15,11.8,0.547,0.204,0.095,F,0.362,2.27,-0.011,0.38,1.45,0.005,0.2799999999999998,-0.23899999999999993,0.093,0.3400000000000005,-0.07199999999999984,0.089,0.31000000000000005,0.01100000000000001,0.076,2.46,1.32,1.02,0.0,0.52,0.42,0.22,2.2,0.631,0.4,0.447,0.5,0.455,0.3,0.361,0.5,0.348,0.7,0.33,0.0,0.0,0.0,0.667,0.333,0.6,0.941,0.538,0.7,1.128,0.516,1.6,0.926,0.526,1.1,0.9,0.348,2.0,1.063,0.5,0.6,1.295,0.643,1.8,0.0,0.0,0.0,1.182,0.647,0.9,32.9,0.6,5.7,0.098
1,Aaron Holiday,IND,0.39,0.368,0.2,1.1,1.9,0.7,0.2,1.4,7.2,0.0,0.139,1.86,0.012,0.06,9.9,0.503,0.189,0.057,G,0.371,1.58,-0.051,0.373,1.13,0.026,0.26,-0.14600000000000013,0.09,0.49,0.2609999999999999,0.091,0.18000000000000016,-0.07400000000000001,0.076,1.29,1.8,1.47,0.0,0.03,0.17,0.23,1.0,0.426,0.3,0.333,0.2,0.367,0.2,0.55,0.3,0.407,0.7,0.341,0.2,0.125,0.4,0.77,0.407,1.5,0.0,0.0,0.0,1.009,0.477,1.7,0.0,0.0,0.0,1.016,0.395,2.8,0.75,0.306,0.7,0.692,0.25,0.2,0.905,0.412,0.3,0.0,0.0,0.0,15.5,0.3,3.3,0.121
2,Aaron Nesmith,BOS,0.438,0.37,0.6,2.2,0.5,0.3,0.2,1.9,4.7,-0.2,0.047,1.0,0.041,0.146,9.7,0.573,0.133,0.06,G-F,0.358,1.34,0.006,0.367,0.76,-0.018,0.31999999999999984,-0.0689999999999999,0.118,0.13000000000000034,-0.16500000000000015,0.08,0.18999999999999995,0.027000000000000024,0.078,1.83,1.04,0.52,0.02,0.13,0.33,0.24,0.6,0.617,0.1,0.333,0.1,0.444,0.0,1.0,0.5,0.339,0.4,0.413,0.0,0.0,0.0,0.909,0.444,0.2,0.0,0.0,0.0,0.78,0.324,0.9,0.0,0.0,0.0,1.083,0.41,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.471,0.563,0.4,1.2,0.818,0.3,11.7,0.1,1.0,0.043
3,Abdel Nader,PHX,0.491,0.419,0.3,2.3,0.8,0.4,0.4,1.4,6.7,1.2,0.078,1.0,0.02,0.151,11.2,0.605,0.183,0.092,F,0.405,1.4,-0.016,0.339,0.65,-0.039,0.4500000000000002,0.2909999999999998,0.091,0.19999999999999984,-5.551115123125783e-17,0.074,0.19999999999999996,-0.014000000000000012,0.091,1.92,1.25,0.75,0.0,0.04,0.17,0.21,1.3,0.564,0.3,0.583,0.0,0.25,0.0,0.0,0.4,0.444,0.4,0.4,0.0,0.0,0.0,0.727,0.429,0.5,0.0,0.0,0.0,1.065,0.522,1.3,0.0,0.0,0.0,1.014,0.456,3.0,0.818,0.375,0.5,1.273,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,1.1,0.084
4,Al Horford,BOS,0.45,0.368,1.0,5.7,3.4,0.9,0.9,1.7,14.2,-3.6,0.206,3.24,0.034,0.195,5.9,0.538,0.221,0.131,C-F,0.322,3.15,0.015,0.209,1.26,0.029,0.6600000000000001,-0.13899999999999996,0.104,1.1199999999999997,0.0029999999999998916,0.152,1.4800000000000002,0.065,0.214,6.93,1.89,1.18,0.0,2.21,0.29,0.29,1.9,0.602,0.9,0.444,0.5,0.5,0.5,0.438,0.6,0.34,1.5,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.1,5.2,0.087
5,Al-Farouq Aminu,CHI,0.384,0.216,1.0,3.8,1.3,0.8,0.4,1.3,4.4,-2.3,0.101,1.11,0.05,0.2,17.0,0.469,0.138,0.075,F,0.338,1.17,-0.084,0.453,0.96,-0.046,0.21999999999999997,0.16800000000000004,0.048,0.13000000000000012,-0.12100000000000016,0.067,0.16999999999999993,-0.10599999999999998,0.095,1.87,2.13,1.43,0.0,0.74,0.26,0.35,0.8,0.487,0.2,0.417,0.0,0.0,0.2,0.8,0.3,0.467,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.2,3.0,0.057
6,Alec Burks,NYK,0.42,0.415,0.4,4.2,2.2,0.6,0.3,2.1,12.7,2.6,0.135,2.18,0.016,0.156,6.9,0.564,0.208,0.115,G,0.32,1.43,-0.099,0.425,1.12,-0.069,0.33000000000000007,-0.11400000000000016,0.091,0.14000000000000012,-0.1489999999999999,0.056,0.3699999999999999,0.007000000000000006,0.107,2.27,2.57,1.43,0.0,0.06,0.31,0.31,1.0,0.486,0.2,0.324,0.4,0.377,0.4,0.422,1.1,0.424,1.1,0.41,1.313,0.467,0.7,0.967,0.393,4.3,0.0,0.0,0.0,0.83,0.372,1.1,0.0,0.0,0.0,1.088,0.404,3.7,1.246,0.56,1.2,1.5,0.727,0.2,0.579,0.188,0.4,0.0,0.0,0.0,25.3,0.3,3.3,0.086
7,Aleksej Pokusevski,OKC,0.341,0.28,0.7,4.0,2.2,0.4,0.9,1.3,8.2,-8.7,0.133,0.98,0.025,0.155,15.9,0.43,0.197,0.058,C,0.443,3.0,-0.016,0.359,1.61,0.032,0.2999999999999998,-0.1459999999999999,0.069,0.27000000000000046,0.0019999999999999463,0.054,0.47999999999999976,0.19299999999999995,0.074,3.8,2.89,0.8,0.0,0.51,0.11,0.11,0.8,0.5,0.3,0.325,0.3,0.389,0.3,0.333,0.5,0.312,0.8,0.258,0.607,0.318,0.6,0.581,0.377,2.8,0.615,0.25,0.3,0.831,0.436,1.6,0.0,0.0,0.0,0.75,0.301,4.0,0.605,0.321,0.8,0.0,0.0,0.0,1.158,0.429,0.4,0.652,0.318,0.5,29.1,0.4,3.9,0.074
8,Alex Caruso,LAL,0.436,0.401,0.5,2.4,2.8,1.1,0.3,1.9,6.4,2.1,0.19,2.11,0.025,0.114,13.2,0.547,0.144,0.084,G,0.361,1.52,-0.044,0.352,1.0,0.005,0.31000000000000005,-0.12100000000000011,0.101,0.24999999999999978,-0.062000000000000055,0.089,0.28,-0.013000000000000012,0.097,1.47,1.67,2.22,0.26,0.29,0.24,0.41,0.9,0.587,0.2,0.37,0.2,0.36,0.1,0.263,0.5,0.366,0.4,0.431,0.412,0.091,0.3,0.66,0.347,1.6,0.0,0.0,0.0,1.053,0.538,1.3,0.0,0.0,0.0,1.112,0.414,2.2,0.429,0.375,0.2,1.139,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.4,5.5,0.078
9,Alex Len,WAS,0.615,0.32,1.2,2.8,0.8,0.3,1.0,2.0,6.6,-1.5,0.069,0.89,0.077,0.174,12.6,0.643,0.161,0.097,C,0.45,2.3,-0.07,0.182,0.49,-0.057,0.29000000000000004,-0.24099999999999994,0.102,0.45999999999999996,-0.11399999999999993,0.12,0.76,0.19899999999999995,0.146,6.23,0.94,0.91,0.0,2.05,0.17,0.11,2.2,0.749,0.3,0.392,0.0,0.231,0.0,0.0,0.1,0.333,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.258,0.667,1.2,1.393,0.696,1.0,1.067,0.667,0.3,0.895,0.375,0.3,0.0,0.0,0.0,1.113,0.598,2.3,0.0,0.0,0.0,1.132,0.596,0.9,15.8,0.1,1.4,0.049
